🐰 Keploy: 2025-07-04T11:54:10+05:30 	[34mINFO[0m	keploy initialized and probes added to the kernel.
🐰 Keploy: 2025-07-04T11:54:10+05:30 	[34mINFO[0m	starting TCP DNS server at addr :46789
🐰 Keploy: 2025-07-04T11:54:10+05:30 	[34mINFO[0m	starting UDP DNS server at addr :46789
🐰 Keploy: 2025-07-04T11:54:10+05:30 	[34mINFO[0m	Keploy has taken control of the DNS resolution mechanism, your application may misbehave if you have provided wrong domain name in your application code.
🐰 Keploy: 2025-07-04T11:54:10+05:30 	[34mINFO[0m	Proxy started at port:36789
🐰 Keploy: 2025-07-04T11:54:45+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-1"}
🐰 Keploy: 2025-07-04T11:54:45+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-2"}
🐰 Keploy: 2025-07-04T11:54:45+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-3"}
🐰 Keploy: 2025-07-04T11:54:46+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-4"}
🐰 Keploy: 2025-07-04T11:54:48+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-5"}
🐰 Keploy: 2025-07-04T11:54:48+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-6"}
🐰 Keploy: 2025-07-04T11:54:49+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-7"}
🐰 Keploy: 2025-07-04T11:54:49+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-8"}
🐰 Keploy: 2025-07-04T11:54:50+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-9"}
🐰 Keploy: 2025-07-04T11:54:51+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-10"}
🐰 Keploy: 2025-07-04T11:54:51+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-11"}
🐰 Keploy: 2025-07-04T11:54:52+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-12"}
🐰 Keploy: 2025-07-04T11:54:54+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-13"}
🐰 Keploy: 2025-07-04T11:54:54+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-14"}
🐰 Keploy: 2025-07-04T11:54:55+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-15"}
🐰 Keploy: 2025-07-04T11:54:55+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-16"}
🐰 Keploy: 2025-07-04T11:54:55+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-17"}
🐰 Keploy: 2025-07-04T11:54:55+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-18"}
🐰 Keploy: 2025-07-04T11:54:56+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-19"}
🐰 Keploy: 2025-07-04T11:54:57+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-20"}
🐰 Keploy: 2025-07-04T11:54:57+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-21"}
🐰 Keploy: 2025-07-04T11:54:59+05:30 	[34mINFO[0m	🟠 Keploy has captured test cases for the user's application.	{"path": "/Users/harshsharma/Desktop/demo/CRUD-API/server/keploy/test-set-1/tests", "testcase name": "test-22"}
